Site_code,Site,Treatment,Fgroup,Species,Plot,LAImax,LAImin,LMA,Max_BM,Min_BM,BM_Growth,WT,PineBM_change,SpruceBM_change,BirchBM_change
MEC,mes,ctr,Graminoids,CareLivi,7,0,0,148.6032254,0,0,0,-6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLivi,8,0.0093375,0,148.6032254,1.387582617,0,1.387582617,-13.6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareEchi,1,0,0,148.6032254,0,0,0,-9.2,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareEchi,2,0.000154042,0,148.6032254,0.022891195,0,0.022891195,-16.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareEchi,3,0,0,148.6032254,0,0,0,-28.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareEchi,4,0,0,148.6032254,0,0,0,-10.2,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareEchi,5,0.004528846,0,148.6032254,0.673001146,0,0.673001146,-13.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareEchi,6,0,0,148.6032254,0,0,0,-5.6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareEchi,7,0,0,148.6032254,0,0,0,-6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareEchi,8,0,0,148.6032254,0,0,0,-13.6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLasi,1,1.045123434,0.129035285,159.4463035,166.6410682,20.57419926,146.066869,-9.2,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLasi,2,0.463578758,0.140765766,159.4463035,73.91591937,22.44458102,51.47133835,-16.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLasi,3,0.325584326,0.117304805,159.4463035,51.9132173,18.70381751,33.20939979,-28.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLasi,4,0.951760451,0.175957207,159.4463035,151.7546858,28.05572627,123.6989595,-10.2,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLasi,5,1.219069231,0.222879129,159.4463035,194.3760826,35.53725327,158.8388293,-13.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLasi,6,1.079204204,0.351914414,159.4463035,172.0751211,56.11145254,115.9636686,-5.6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLasi,7,0.487250401,0.140765766,159.4463035,77.69027537,22.44458102,55.24569436,-6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareLasi,8,0.653456529,0.140765766,159.4463035,104.1912281,22.44458102,81.74664707,-13.6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CarePauc,1,0.039921875,0.001701389,148.6032254,5.932519389,0.252831877,5.679687512,-9.2,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CarePauc,2,0.01098375,0,148.6032254,1.632220677,0,1.632220677,-16.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CarePauc,3,0.007575,0,148.6032254,1.125669432,0,1.125669432,-28.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CarePauc,4,0.001515,0,148.6032254,0.225133886,0,0.225133886,-10.2,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CarePauc,5,0.000340278,0,148.6032254,0.050566375,0,0.050566375,-13.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CarePauc,6,0.00109375,0,148.6032254,0.162534778,0,0.162534778,-5.6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CarePauc,7,0.0021875,0,148.6032254,0.325069556,0,0.325069556,-6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CarePauc,8,0.01818,0.0030625,148.6032254,2.701606638,0.455097378,2.24650926,-13.6,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareRost,1,0.162495536,0.021028409,105.8877306,17.20628351,2.226650516,14.97963299,-9.2,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareRost,2,0.436805147,0.021028409,105.8877306,46.25230573,2.226650516,44.02565521,-16.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareRost,3,0,0,105.8877306,0,0,0,-28.4,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareRost,4,0.258112132,0.031542614,105.8877306,27.33090793,3.339975774,23.99093215,-10.2,3942.784328,na,163.447769
MEC,mes,ctr,Graminoids,CareRost,5,0.178693015,0.005257102,105.8877306,18.9213978,0.556662629,18.36473517,-13.4,3942.784328,na,163.447769
